,Year,Place,Entering,Leaving,resultant
0,2000,Baden-Wuerttemberg,217750,270786,-53036
1,2000,Bayern,187404,291702,-104298
2,2000,Berlin,164856,153218,11638
3,2000,Brandenburg,116086,126952,-10866
4,2000,Bremen,44758,39724,5034
5,2000,Hamburg,103566,114478,-10912
6,2000,Hessen,170084,190938,-20854
7,2000,Insgesamt,2273266,2273266,0
8,2000,Mecklenburg-Vorpommern,72220,47678,24542
9,2000,Niedersachsen,362358,244274,118084
10,2000,Nordrhein-Westfalen,284188,315184,-30996
11,2000,Rheinland-Pfalz,119226,138632,-19406
12,2000,Saarland,23826,21300,2526
13,2000,Sachsen,130118,88354,41764
14,2000,Sachsen-Anhalt,101254,54002,47252
15,2000,Schleswig-Holstein,100924,124598,-23674
16,2000,Thueringen,74648,51446,23202
17,2001,Baden-Wuerttemberg,211320,300274,-88954
18,2001,Bayern,194388,317826,-123438
19,2001,Berlin,160486,159084,1402
20,2001,Brandenburg,128684,119742,8942
21,2001,Bremen,44268,41242,3026
22,2001,Hamburg,103016,116258,-13242
23,2001,Hessen,175656,195760,-20104
24,2001,Insgesamt,2361642,2361642,0
25,2001,Mecklenburg-Vorpommern,77528,49194,28334
26,2001,Niedersachsen,394606,245612,148994
27,2001,Nordrhein-Westfalen,284684,330254,-45570
28,2001,Rheinland-Pfalz,120994,140942,-19948
29,2001,Saarland,24650,22614,2036
30,2001,Sachsen,148594,88624,59970
31,2001,Sachsen-Anhalt,109844,55242,54602
32,2001,Schleswig-Holstein,100662,126370,-25708
33,2001,Thueringen,82262,52604,29658
34,2002,Baden-Wuerttemberg,207498,286050,-78552
35,2002,Bayern,200938,283692,-82754
36,2002,Berlin,161492,159392,2100
37,2002,Brandenburg,125158,115398,9760
38,2002,Bremen,42750,45104,-2354
39,2002,Hamburg,105644,115948,-10304
40,2002,Hessen,171568,189926,-18358
41,2002,Insgesamt,2306990,2306990,0
42,2002,Mecklenburg-Vorpommern,76912,50882,26030
43,2002,Niedersachsen,377060,247356,129704
44,2002,Nordrhein-Westfalen,279858,319830,-39972
45,2002,Rheinland-Pfalz,118142,143044,-24902
46,2002,Saarland,23108,23232,-124
47,2002,Sachsen,135438,88630,46808
48,2002,Sachsen-Anhalt,100726,57050,43676
49,2002,Schleswig-Holstein,102556,128452,-25896
50,2002,Thueringen,78142,53004,25138
51,2003,Baden-Wuerttemberg,208500,262352,-53852
52,2003,Bayern,198394,266818,-68424
53,2003,Berlin,164150,150064,14086
54,2003,Brandenburg,116510,115514,996
55,2003,Bremen,43246,44590,-1344
56,2003,Hamburg,104834,115438,-10604
57,2003,Hessen,170988,179904,-8916
58,2003,Insgesamt,2229716,2229716,0
59,2003,Mecklenburg-Vorpommern,70976,51648,19328
60,2003,Niedersachsen,346252,244672,101580
61,2003,Nordrhein-Westfalen,275864,311120,-35256
62,2003,Rheinland-Pfalz,117020,134050,-17030
63,2003,Saarland,21878,21870,8
64,2003,Sachsen,119780,92528,27252
65,2003,Sachsen-Anhalt,92982,60934,32048
66,2003,Schleswig-Holstein,102872,124432,-21560
67,2003,Thueringen,75470,53782,21688
68,2004,Baden-Wuerttemberg,208094,252204,-44110
69,2004,Bayern,197714,249104,-51390
70,2004,Berlin,164674,146408,18266
71,2004,Brandenburg,115002,116486,-1484
72,2004,Bremen,42488,44748,-2260
73,2004,Hamburg,108292,121704,-13412
74,2004,Hessen,169750,180160,-10410
75,2004,Insgesamt,2189002,2189002,0
76,2004,Mecklenburg-Vorpommern,69402,51700,17702
77,2004,Niedersachsen,323714,237868,85846
78,2004,Nordrhein-Westfalen,271368,302450,-31082
79,2004,Rheinland-Pfalz,117580,133790,-16210
80,2004,Saarland,22076,22162,-86
81,2004,Sachsen,112672,92934,19738
82,2004,Sachsen-Anhalt,88544,58200,30344
83,2004,Schleswig-Holstein,104714,126658,-21944
84,2004,Thueringen,72918,52426,20492
85,2005,Baden-Wuerttemberg,214610,245398,-30788
86,2005,Bayern,195438,254302,-58864
87,2005,Berlin,157636,148980,8656
88,2005,Brandenburg,113056,112012,1044
89,2005,Bremen,41552,43172,-1620
90,2005,Hamburg,105996,115272,-9276
91,2005,Hessen,175410,178200,-2790
92,2005,Insgesamt,2141028,2141028,0
93,2005,Mecklenburg-Vorpommern,65508,49542,15966
94,2005,Niedersachsen,286768,224266,62502
95,2005,Nordrhein-Westfalen,271622,291844,-20222
