year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0,0,0,0
2000,Schleswig-Holstein,Hamburg,8299,8102,16401,1118,866,1984,9417,8968,18385
2000,Schleswig-Holstein,Niedersachsen,3849,4002,7851,283,216,499,4132,4218,8350
2000,Schleswig-Holstein,Bremen,353,321,674,52,37,89,405,358,763
2000,Schleswig-Holstein,Nordrhein-Westfalen,2363,2264,4627,316,206,522,2679,2470,5149
2000,Schleswig-Holstein,Hessen,793,903,1696,87,84,171,880,987,1867
2000,Schleswig-Holstein,Rheinland-Pfalz,469,455,924,84,48,132,553,503,1056
2000,Schleswig-Holstein,Baden-Wuerttemberg,1405,1424,2829,210,172,382,1615,1596,3211
2000,Schleswig-Holstein,Bayern,1323,1240,2563,170,111,281,1493,1351,2844
2000,Schleswig-Holstein,Saarland,66,67,133,3,5,8,69,72,141
2000,Schleswig-Holstein,Berlin,1221,1034,2255,121,83,204,1342,1117,2459
2000,Schleswig-Holstein,Brandenburg,439,362,801,24,9,33,463,371,834
2000,Schleswig-Holstein,Mecklenburg-Vorpommern,2029,1807,3836,62,42,104,2091,1849,3940
2000,Schleswig-Holstein,Sachsen,327,292,619,20,14,34,347,306,653
2000,Schleswig-Holstein,Sachsen-Anhalt,271,225,496,21,8,29,292,233,525
2000,Schleswig-Holstein,Thueringen,157,112,269,12,4,16,169,116,285
2000,Schleswig-Holstein,Insgesamt,23364,22610,45974,2583,1905,4488,25947,24515,50462
2000,Hamburg,Schleswig-Holstein,10170,10746,20916,950,763,1713,11120,11509,22629
2000,Hamburg,Hamburg,0,0,0,0,0,0,0,0,0
2000,Hamburg,Niedersachsen,5573,5668,11241,573,456,1029,6146,6124,12270
2000,Hamburg,Bremen,276,304,580,72,51,123,348,355,703
2000,Hamburg,Nordrhein-Westfalen,1535,1580,3115,377,269,646,1912,1849,3761
2000,Hamburg,Hessen,702,673,1375,171,139,310,873,812,1685
2000,Hamburg,Rheinland-Pfalz,228,227,455,35,27,62,263,254,517
2000,Hamburg,Baden-Wuerttemberg,868,842,1710,193,144,337,1061,986,2047
2000,Hamburg,Bayern,1120,1053,2173,208,154,362,1328,1207,2535
2000,Hamburg,Saarland,36,41,77,2,7,9,38,48,86
2000,Hamburg,Berlin,1223,1057,2280,207,141,348,1430,1198,2628
2000,Hamburg,Brandenburg,217,171,388,21,12,33,238,183,421
2000,Hamburg,Mecklenburg-Vorpommern,760,704,1464,47,34,81,807,738,1545
2000,Hamburg,Sachsen,207,193,400,31,15,46,238,208,446
2000,Hamburg,Sachsen-Anhalt,155,154,309,24,7,31,179,161,340
2000,Hamburg,Thueringen,86,76,162,6,2,8,92,78,170
2000,Hamburg,Insgesamt,23156,23489,46645,2917,2221,5138,26073,25710,51783
2000,Niedersachsen,Schleswig-Holstein,4754,4842,9596,597,557,1154,5351,5399,10750
2000,Niedersachsen,Hamburg,6096,6043,12139,764,600,1364,6860,6643,13503
2000,Niedersachsen,Niedersachsen,0,0,0,0,0,0,0,0,0
2000,Niedersachsen,Bremen,5590,5465,11055,632,542,1174,6222,6007,12229
2000,Niedersachsen,Nordrhein-Westfalen,21704,22629,44333,2552,2071,4623,24256,24700,48956
2000,Niedersachsen,Hessen,6167,6257,12424,1194,932,2126,7361,7189,14550
2000,Niedersachsen,Rheinland-Pfalz,2634,2759,5393,469,451,920,3103,3210,6313
2000,Niedersachsen,Baden-Wuerttemberg,6360,6347,12707,1330,1276,2606,7690,7623,15313
2000,Niedersachsen,Bayern,8270,8421,16691,1458,1341,2799,9728,9762,19490
2000,Niedersachsen,Saarland,526,523,1049,120,101,221,646,624,1270
2000,Niedersachsen,Berlin,3480,3362,6842,656,597,1253,4136,3959,8095
2000,Niedersachsen,Brandenburg,2324,2290,4614,211,217,428,2535,2507,5042
2000,Niedersachsen,Mecklenburg-Vorpommern,2248,2117,4365,83,75,158,2331,2192,4523
2000,Niedersachsen,Sachsen,3412,3412,6824,442,380,822,3854,3792,7646
2000,Niedersachsen,Sachsen-Anhalt,3929,3981,7910,360,300,660,4289,4281,8570
2000,Niedersachsen,Thueringen,2210,2204,4414,253,262,515,2463,2466,4929
2000,Niedersachsen,Insgesamt,79704,80652,160356,11121,9702,20823,90825,90354,181179
2000,Bremen,Schleswig-Holstein,277,279,556,46,32,78,323,311,634
2000,Bremen,Hamburg,459,437,896,128,81,209,587,518,1105
